date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:57	112176/112176	---M-Z	200	added ('OK')	text/html	etag:%221b630-5faff1d79ccc0-gzip%22	https://themesdesign.in/tocly/layouts/index.html	D:/websites/admin/themesdesign.in/tocly/layouts/index.html	(from )
21:47:58	278/278	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20May%202023%2016:17:57%20GMT	https://themesdesign.in/robots.txt		(from )
21:47:58	4286/4286	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2210be-5faff1d7509fe%22	https://themesdesign.in/tocly/layouts/assets/images/favicon.ico	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/favicon.ico	(from https://themesdesign.in/tocly/layouts/index.html)
21:47:58	2144/2144	---M-Z	200	added ('OK')	text/css	etag:%22860-5faff1d775bbf-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/jsvectormap/css/jsvectormap.min.css	D:/websites/admin/themesdesign.in/tocly/layouts/assets/libs/jsvectormap/css/jsvectormap.min.css	(from https://themesdesign.in/tocly/layouts/index.html)
21:47:58	326/326	---M-Z	200	added ('OK')	application/javascript	etag:%22146-5faff1d75a63e-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/layout.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/js/layout.js	(from https://themesdesign.in/tocly/layouts/index.html)
21:47:58	288974/288974	---M-Z	200	added ('OK')	text/css	etag:%22468ce-5faff1d743edd-gzip%22	https://themesdesign.in/tocly/layouts/assets/css/bootstrap.min.css	D:/websites/admin/themesdesign.in/tocly/layouts/assets/css/bootstrap.min.css	(from https://themesdesign.in/tocly/layouts/index.html)
21:47:59	437553/437553	---MCZ	200	added ('OK')	text/css	etag:%226ad31-5faff1d745e1d-gzip%22	https://themesdesign.in/tocly/layouts/assets/css/icons.min.css	D:/websites/admin/themesdesign.in/tocly/layouts/assets/css/icons.min.css	(from https://themesdesign.in/tocly/layouts/index.html)
21:47:59	94553/94553	---M-Z	200	added ('OK')	text/css	etag:%2217159-5faff1d742f3d-gzip%22	https://themesdesign.in/tocly/layouts/assets/css/app.min.css	D:/websites/admin/themesdesign.in/tocly/layouts/assets/css/app.min.css	(from https://themesdesign.in/tocly/layouts/index.html)
21:47:59	2718/2718	---M--	200	added ('OK')	image/png	etag:%22a9e-5faff1d75293e%22	https://themesdesign.in/tocly/layouts/assets/images/logo-dark.png	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/logo-dark.png	(from https://themesdesign.in/tocly/layouts/index.html)
21:47:59	3267/3267	---M--	200	added ('OK')	image/png	etag:%22cc3-5faff1d75293e%22	https://themesdesign.in/tocly/layouts/assets/images/logo-sm-dark.png	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/logo-sm-dark.png	(from https://themesdesign.in/tocly/layouts/index.html)
21:47:59	2367/2367	---M--	200	added ('OK')	image/png	etag:%2293f-5faff1d75293e%22	https://themesdesign.in/tocly/layouts/assets/images/logo-light.png	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/logo-light.png	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:00	2937/2937	---M--	200	added ('OK')	image/png	etag:%22b79-5faff1d75293e%22	https://themesdesign.in/tocly/layouts/assets/images/logo-sm-light.png	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/logo-sm-light.png	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:00	1242/1242	---M--	200	added ('OK')	image/jpeg	etag:%224da-5faff1d75199e%22	https://themesdesign.in/tocly/layouts/assets/images/flags/us.jpg	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/flags/us.jpg	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:00	1039/1039	---M--	200	added ('OK')	image/jpeg	etag:%2240f-5faff1d75199e%22	https://themesdesign.in/tocly/layouts/assets/images/flags/spain.jpg	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/flags/spain.jpg	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:00	663/663	---M--	200	added ('OK')	image/jpeg	etag:%22297-5faff1d7509fe%22	https://themesdesign.in/tocly/layouts/assets/images/flags/germany.jpg	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/flags/germany.jpg	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:00	637/637	---M--	200	added ('OK')	image/jpeg	etag:%2227d-5faff1d7509fe%22	https://themesdesign.in/tocly/layouts/assets/images/flags/italy.jpg	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/flags/italy.jpg	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:01	633/633	---M--	200	added ('OK')	image/jpeg	etag:%22279-5faff1d7509fe%22	https://themesdesign.in/tocly/layouts/assets/images/flags/russia.jpg	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/flags/russia.jpg	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:01	1454/1454	---M--	200	added ('OK')	image/png	etag:%225ae-5faff1d74eabe%22	https://themesdesign.in/tocly/layouts/assets/images/brands/github.png	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/brands/github.png	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:01	701/701	---M--	200	added ('OK')	image/png	etag:%222bd-5faff1d74eabe%22	https://themesdesign.in/tocly/layouts/assets/images/brands/bitbucket.png	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/brands/bitbucket.png	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:01	911/911	---M--	200	added ('OK')	image/png	etag:%2238f-5faff1d74eabe%22	https://themesdesign.in/tocly/layouts/assets/images/brands/dribbble.png	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/brands/dribbble.png	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:02	772/772	---M--	200	added ('OK')	image/png	etag:%22304-5faff1d74eabe%22	https://themesdesign.in/tocly/layouts/assets/images/brands/dropbox.png	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/brands/dropbox.png	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:02	1428/1428	---M--	200	added ('OK')	image/png	etag:%22594-5faff1d74eabe%22	https://themesdesign.in/tocly/layouts/assets/images/brands/mail_chimp.png	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/brands/mail_chimp.png	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:02	1477/1477	---M--	200	added ('OK')	image/png	etag:%225c5-5faff1d74eabe%22	https://themesdesign.in/tocly/layouts/assets/images/brands/slack.png	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/brands/slack.png	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:02	11267/11267	---M--	200	added ('OK')	image/jpeg	etag:%222c03-5faff1d75a63e%22	https://themesdesign.in/tocly/layouts/assets/images/users/avatar-3.jpg	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/users/avatar-3.jpg	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:02	12722/12722	---M--	200	added ('OK')	image/jpeg	etag:%2231b2-5faff1d75a63e%22	https://themesdesign.in/tocly/layouts/assets/images/users/avatar-4.jpg	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/users/avatar-4.jpg	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:03	80340/80340	---M-Z	200	added ('OK')	text/html	etag:%22139d4-5faff1d79ad80-gzip%22	https://themesdesign.in/tocly/layouts/email-inbox.html	D:/websites/admin/themesdesign.in/tocly/layouts/email-inbox.html	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:03	62840/62840	---M-Z	200	added ('OK')	text/html	etag:%22f578-5faff1d79ad80-gzip%22	https://themesdesign.in/tocly/layouts/email-read.html	D:/websites/admin/themesdesign.in/tocly/layouts/email-read.html	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:03	55436/55436	---M-Z	200	added ('OK')	text/html	etag:%22d88c-5faff1d79ad80-gzip%22	https://themesdesign.in/tocly/layouts/calendar.html	D:/websites/admin/themesdesign.in/tocly/layouts/calendar.html	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:03	97855/97855	---M-Z	200	added ('OK')	text/html	etag:%2217e3f-5faff1d741f9d-gzip%22	https://themesdesign.in/tocly/layouts/apps-chat.html	D:/websites/admin/themesdesign.in/tocly/layouts/apps-chat.html	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:04	98081/98081	---M-Z	200	added ('OK')	text/html	etag:%2217f21-5faff1d79ccc0-gzip%22	https://themesdesign.in/tocly/layouts/invoices.html	D:/websites/admin/themesdesign.in/tocly/layouts/invoices.html	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:04	106151/106151	---M-Z	200	added ('OK')	text/html	etag:%2219ea7-5faff1d742f3d-gzip%22	https://themesdesign.in/tocly/layouts/apps-file-manager.html	D:/websites/admin/themesdesign.in/tocly/layouts/apps-file-manager.html	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:04	56881/56881	---M-Z	200	added ('OK')	text/html	etag:%22de31-5faff1d79ccc0-gzip%22	https://themesdesign.in/tocly/layouts/invoice-detail.html	D:/websites/admin/themesdesign.in/tocly/layouts/invoice-detail.html	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:04	90354/90354	---M-Z	200	added ('OK')	text/html	etag:%22160f2-5faff1d79ec00-gzip%22	https://themesdesign.in/tocly/layouts/users-list.html	D:/websites/admin/themesdesign.in/tocly/layouts/users-list.html	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:04	77279/77279	---M-Z	200	added ('OK')	text/html	etag:%2212ddf-5faff1d79ec00-gzip%22	https://themesdesign.in/tocly/layouts/users-detail.html	D:/websites/admin/themesdesign.in/tocly/layouts/users-detail.html	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:05	112035/112035	---M-Z	200	added ('OK')	text/html	etag:%221b5a3-5faff1d79ccc0-gzip%22	https://themesdesign.in/tocly/layouts/layouts-dark-sidebar.html	D:/websites/admin/themesdesign.in/tocly/layouts/layouts-dark-sidebar.html	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:05	112062/112062	---M-Z	200	added ('OK')	text/html	etag:%221b5be-5faff1d79ccc0-gzip%22	https://themesdesign.in/tocly/layouts/layouts-light-sidebar.html	D:/websites/admin/themesdesign.in/tocly/layouts/layouts-light-sidebar.html	(from https://themesdesign.in/tocly/layouts/index.html)
21:48:05	112076/112076	---M-Z	200	added ('OK')	text/html	etag:%221b5cc-5faff1d79ccc0-gzip%22	https://themesdesign.in/tocly/layouts/layouts-compact-sidebar.html	D:/websites/admin/themesdesign.in/tocly/layouts/layouts-compact-sidebar.html	(from https://themesdesign.in/tocly/layouts/index.html)
